Artist Name                    | Number of appearances on top 200

5 Seconds of Summer                     2
A Boogie Wit da Hoodie                  2
Alan Walker                             1
Alec Benjamin                           1
Ali Gatie                               2
Anne-Marie                              1
Anuel AA                                2
Arcangel                                1
Ariana Grande                           2
Arizona Zervas                          1
Ava Max                                 1
Bad Bunny                               3
Bazzi                                   1
benny blanco                            1
Billie Eilish                          11
blackbear                               2
BROCKHAMPTON                            1
BTS                                     1
Camila Cabello                          1
Camilo                                  1
Chris Brown                             1
Conan Gray                              1
DaBaby                                  3
Daddy Yankee                            2
Dalex                                   2
Dan + Shay                              1
Dean Lewis                              1
Dimelo Flow                             1
Doja Cat                                1
Dominic Fike                            1
Don Toliver                             1
Drake                                   1
Dua Lipa                                2
Ed Sheeran                              6
Ellie Goulding                          1
Eminem                                  2
Future                                  1
G-Eazy                                  1
Halsey                                  2
Harry Styles                            3
Henrique & Juliano                      1
Imagine Dragons                         1
J Balvin                                3
Jack Harlow                             1
JACKBOYS                                1
James Arthur                            1
Jhay Cortez                             2
John Legend                             1
Joji                                    2
Joker Bra                               1
Jonas Brothers                          3
JP Saxe                                 1
Juice WRLD                              3
Justin Bieber                          15
KAROL G                                 1
Khalid                                  2
Kina                                    2
Kygo                                    2
Lady Gaga                               1
Lauv                                    1
Lewis Capaldi                           3
Lil Baby                                1
Lil Mosey                               1
Lil Nas X                               1
Lil Tecca                               1
Lil Uzi Vert                            1
Lizzo                                   2
Luciano                                 1
Lunay                                   2
Mac Miller                              1
Major Lazer                             1
Maroon 5                                2
Marshmello                              1
MEDUZA                                  2
Migos                                   1
Mustard                                 1
Myke Towers                             2
Niall Horan                             1
Nicky Jam                               2
Noah Cyrus                              1
Olivia Rodrigo                          1
Panic! At The Disco                     1
Polo G                                  1
Post Malone                             6
Powfu                                   1
Queen                                   1
Rauw Alejandro                          1
Regard                                  1
Reik                                    1
Rich Music LTD                          2
Roddy Ricch                             2
SAINt JHN                               1
Sam Smith                               4
Sech                                    1
Selena Gomez                            2
SHAED                                   1
Shakira                                 1
Shawn Mendes                            2
Stormzy                                 1
Surfaces                                1
Tainy                                   1
Tame Impala                             3
Taylor Swift                            2
The Black Eyed Peas                     1
The Chainsmokers                        1
The Weeknd                              2
TOKYO’S REVENGE                         1
Tones and I                             2
Travis Scott                            3
Trevor Daniel                           1
Tyga                                    1
XXXTENTACION                            3
Y2K                                     1
YNW Melly                               1
